CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location of First Harmful Event,Weather Condition,Light Conditions,Traffic Control Device,Traffic Control Type,Roadway Alignment,Roadway Surface Condition,Roadway Surface type,Roadway Description,Roadway defects,Relation to Roadway,Intersection Type,Work Zone Related,Workers Present in Work Zone,Work Zone Location,Work Zone Type,School Zone,Type of Collision,Location 1
2016033603.0,08/13/2016,1703,SAT,ELSON GREEN AV,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"2201 UPTON DR
VIRGINIA BEACH, VA
(36.755594, -76.007337)"
2016034313.0,08/18/2016,1826,THU,PRINCESS ANNE RD,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1999 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.793912, -76.118517)"
2016029956.0,07/21/2016,1100,THU,16TH ST,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1600 PACIFIC AV
VIRGINIA BEACH, VA
(36.84415, -75.975239)"
2016036902.0,09/04/2016,1407,SUN,GUARDIAN LA,Yes,1.0,127.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,REAR END,"639 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.825618, -76.067242)"
2016028357.0,07/10/2016,1104,SUN,FERRELL PW OFF RAMP,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,CURVE-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,FIXED OBJECT IN ROAD,"1398 SALEM RD
VIRGINIA BEACH, VA
(36.796704, -76.128114)"
2016032137.0,08/04/2016,900,THU,PLAZA TL S,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"4498 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.803552, -76.132567)"
2016033909.0,08/15/2016,2019,MON,GENERAL BOOTH BL,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"2205 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.760191, -76.018543)"
2016027537.0,07/05/2016,1247,TUE,NIMMO PW,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"2200 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.764404, -76.015135)"
2016033879.0,08/15/2016,1605,MON,VANTAGE POINT,Yes,3.0,330.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,TWO APPROACHES,,,,,NO,REAR END,"4460 SHORE DR
VIRGINIA BEACH, VA
(36.904532, -76.125496)"
2016029125.0,07/15/2016,2220,FRI,FUNDY CT,20.00 Miles From,4.0,424.0,2,ON ROADWAY,RAIN,DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,TWO APPROACHES,NO,,,,NO,ANGLE,"1987 SOUTHAVEN DR
VIRGINIA BEACH, VA
(36.775561, -76.148667)"
2016032519.0,08/06/2016,1547,SAT,LONDON BRIDGE BL,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1900-1904 PINE VIEW AV
VIRGINIA BEACH, VA
(36.772716, -76.030791)"
2016037147.0,09/06/2016,1200,TUE,EDWIN DR,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"4700 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.814715, -76.143853)"
2016027518.0,07/05/2016,1140,TUE,23RD ST,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"2300 CYPRESS AV
VIRGINIA BEACH, VA
(36.849971, -75.984661)"
2016032463.0,08/06/2016,1015,SAT,CAPE HENRY DR,Yes,2.0,220.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"2240 RED TIDE RD
VIRGINIA BEACH, VA
(36.909766, -76.073542)"
2016035434.0,08/25/2016,1720,THU,BRATTEN AV,Yes,2.0,222.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,"FIVE-POINT, OR MORE",NO,,,,NO,ANGLE,"1900 LASKIN RD
VIRGINIA BEACH, VA
(36.848928, -76.032241)"
2016029998.0,07/21/2016,1430,THU,BAKER RD,00.03 Miles From,3.0,331.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"5758 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.883378, -76.183569)"
2016031079.0,07/28/2016,911,THU,DAM NECK RD,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,REAR END,"3299 MONET DR
VIRGINIA BEACH, VA
(36.780859, -76.083516)"
2016037128.0,09/06/2016,841,TUE,6000 INDIAN RIVER RD,Yes,4.0,420.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"6098 PROVIDENCE RD
VIRGINIA BEACH, VA
(36.812868, -76.205155)"
2016037009.0,09/05/2016,1004,MON,399 LYNNHAVEN RD N,Yes,3.0,320.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"2901 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.844045, -76.071889)"
2016030683.0,07/25/2016,1359,MON,CONCERT DR,Yes,1.0,128.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"3500 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.778383, -76.095374)"
2016035786.0,08/28/2016,2049,SUN,MEDITERRANEAN AV,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING AND OBSCURED,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"599 20TH ST
VIRGINIA BEACH, VA
(36.847092, -75.981898)"
2016032553.0,08/06/2016,2047,SAT,INDEPENDENCE BL S,25.00 Miles From,3.0,324.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"4698 BONNEY RD
VIRGINIA BEACH, VA
(36.837557, -76.136948)"
2016030510.0,07/24/2016,1630,SUN,BURTON STATION RD,Yes,3.0,331.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"5830 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.881051, -76.187161)"
2016023038.0,06/08/2016,925,WED,KEMPSVILLE RD,Yes,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"5200 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.795576, -76.172213)"
2016029827.0,07/20/2016,1408,WED,BLACKSTONE TL,Yes,1.0,126.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,TWO APPROACHES,NO,,,,NO,REAR END,"951 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.80885, -76.075085)"
2016025163.0,06/21/2016,1431,TUE,KENTUCKY AV N,Yes,3.0,322.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"3979 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.841053, -76.112377)"
2016032485.0,08/06/2016,1410,SAT,HARNESS CT,Yes,3.0,327.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,TWO APPROACHES,NO,,,,NO,HEAD ON,"939 BROAD MEADOWS BL
VIRGINIA BEACH, VA
(36.867807, -76.16181)"
2016026870.0,07/01/2016,1820,FRI,400 34TH ST,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"3400 ARCTIC AV
VIRGINIA BEACH, VA
(36.861976, -75.982023)"
2016036624.0,09/02/2016,1401,FRI,INDIAN RIVER RD,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"5072 FERRELL PW
VIRGINIA BEACH, VA
(36.794906, -76.167979)"
2016035500.0,08/26/2016,543,FRI,4700 EUCLID RD,Yes,3.0,324.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"100 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.839561, -76.136788)"
2016036596.0,09/02/2016,1025,FRI,GALLANT FOX RD,Yes,4.0,423.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"5535 PARLIAMENT DR
VIRGINIA BEACH, VA
(36.839975, -76.178075)"
2016035520.0,08/26/2016,1010,FRI,FOUNTAIN LAKE DR,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1105 WATERFRONT DR
VIRGINIA BEACH, VA
(36.850354, -75.994828)"
2016035940.0,08/28/2016,1902,SUN,PRINCESS ANNE RD,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"2000 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.793076, -76.119071)"
2016021712.0,05/31/2016,107,TUE,LYNNHAVEN PW,Yes,4.0,424.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,FIXED OBJECT-OFF ROAD,"1498 ROUND HILL DR
VIRGINIA BEACH, VA
(36.788712, -76.13539)"
2016029726.0,07/19/2016,1955,TUE,200 28TH ST,Yes,2.0,227.0,1,ON ROADWAY,RAIN,DARKNESS-ROAD LIGHTED,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,PEDESTRIAN,"2800 PACIFIC AV
VIRGINIA BEACH, VA
(36.856589, -75.978654)"
2016029233.0,07/16/2016,1459,SAT,SABRE ST,Yes,1.0,127.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,REAR END,"600 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.826001, -76.067071)"
2016037496.0,09/08/2016,1643,THU,WESTMINSTER LA,Yes,2.0,222.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"700 REGENCY DR
VIRGINIA BEACH, VA
(36.851549, -76.034264)"
2016030546.0,07/24/2016,1904,SUN,PRINCESS ANNE RD,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"3099 SEABOARD RD
VIRGINIA BEACH, VA
(36.729836, -76.01917)"
2016027911.0,07/07/2016,1534,THU,CHUB LA,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"2899 SANDPIPER RD
VIRGINIA BEACH, VA
(36.729098, -75.938852)"
2016036740.0,09/03/2016,1200,SAT,HOLLAND RD,Yes,1.0,126.0,2,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1200 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.798358, -76.086688)"
2016033977.0,08/16/2016,1335,TUE,OLD KEMPSVILLE RD,Yes,4.0,422.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1200 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.803914, -76.173481)"
2016025218.0,06/21/2016,2200,TUE,BIRDNECK RD,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"1100 LASKIN RD BLK
VIRGINIA BEACH, VA
(36.854901, -75.995432)"
2016025637.0,06/24/2016,1318,FRI,CITATION DR,Yes,4.0,423.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"5527 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.835194, -76.178599)"
2016028105.0,07/08/2016,1921,FRI,NORTHAMPTON BL,,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,TWO APPROACHES,NO,,,,NO,SIDESWIPE-OPPOSITE DIRECTION,"1200 BAKER RD
VIRGINIA BEACH, VA
(36.884119, -76.183291)"
2016034870.0,08/22/2016,918,MON,798 ROSEMONT RD,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"3601 HOLLAND RD
VIRGINIA BEACH, VA
(36.813215, -76.098173)"
2016029215.0,07/16/2016,1316,SAT,DIAMOND SPRING,Yes,3.0,326.0,1,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,WET,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,FIXED OBJECT-OFF ROAD,"700 NEWTOWN RD
VIRGINIA BEACH, VA
(36.862873, -76.171772)"
2016028995.0,07/14/2016,2340,THU,GOVERNORS WY,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD NOT LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"3800 HOLLAND RD
VIRGINIA BEACH, VA
(36.815511, -76.105823)"
2016028880.0,07/14/2016,739,THU,5300 LILA LA,Yes,4.0,421.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,YIELD SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"5300 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.797743, -76.175351)"
2016032579.0,08/06/2016,2251,SAT,VOLSUNG CT,Yes,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,OTHER,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,TWO APPROACHES,NO,,,,NO,SIDESWIPE-OPPOSITE DIRECTION,"631 LAKE EDWARD DR
VIRGINIA BEACH, VA
(36.859842, -76.177761)"
2016031231.0,07/29/2016,935,FRI,HOLLAND RD,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"799 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.813768, -76.098142)"
